name,bird_size,wing_length,head_pattern,wing_pattern
Baltimore_Oriole,6.516666666666666,0.015873015873015872,plain,multi-colored
Hooded_Oriole,7.169444444444444,0.015873015873015872,masked,multi-colored
Orchard_Oriole,6.800000000000001,0.05555555555555555,plain,multi-colored
Scott_Oriole,6.8517241379310345,0.0,plain,multi-colored
Ovenbird,5.256666666666667,0.007936507936507936,eyering,solid
Brown_Pelican,41.50322580645161,0.7936507936507936,masked,solid
White_Pelican,47.03461538461539,0.5634920634920635,plain,solid
Western_Wood_Pewee,5.609090909090909,0.031746031746031744,plain,multi-colored
Sayornis,6.492307692307692,0.03968253968253968,plain,solid
American_Pipit,6.210000000000001,0.0,eyebrow,striped
Whip_poor_Will,9.715,0.031746031746031744,spotted,spotted
Horned_Puffin,16.09375,0.15079365079365079,unique,solid
Common_Raven,14.496296296296297,0.16666666666666666,plain,solid
White_necked_Raven,16.825806451612905,0.20634920634920634,plain,solid
American_Redstart,6.003448275862069,0.007936507936507936,plain,multi-colored
Geococcyx,12.720833333333335,0.12698412698412698,crested,striped
Loggerhead_Shrike,5.752777777777777,0.015873015873015872,eyeline,multi-colored
Great_Grey_Shrike,7.0928571428571425,0.031746031746031744,eyeline,multi-colored
Baird_Sparrow,5.947058823529412,0.023809523809523808,striped,striped
Black_throated_Sparrow,6.2081081081081075,0.015873015873015872,eyebrow,solid
Brewer_Sparrow,5.367647058823529,0.015873015873015872,striped,striped
Chipping_Sparrow,5.435714285714286,0.015873015873015872,eyeline,striped
Clay_colored_Sparrow,5.627272727272728,0.015873015873015872,striped,striped
House_Sparrow,5.574193548387097,0.0,capped,multi-colored
Field_Sparrow,5.6000000000000005,0.015873015873015872,capped,striped
Fox_Sparrow,5.912121212121212,0.015873015873015872,eyering,striped
Grasshopper_Sparrow,5.302941176470588,0.0,striped,striped
Harris_Sparrow,5.648000000000001,0.007936507936507936,striped,striped
Henslow_Sparrow,5.372727272727273,0.023809523809523808,striped,striped
Le_Conte_Sparrow,5.247058823529412,0.015873015873015872,striped,striped
Lincoln_Sparrow,5.396969696969697,0.0,striped,striped
Nelson_Sharp_tailed_Sparrow,5.371428571428571,0.0,striped,striped
Savannah_Sparrow,5.5323529411764705,0.007936507936507936,striped,striped
Seaside_Sparrow,6.330434782608696,0.007936507936507936,eyebrow,striped
Song_Sparrow,5.47948717948718,0.015873015873015872,striped,striped
Tree_Sparrow,5.555,0.023809523809523808,capped,striped
Vesper_Sparrow,6.0473684210526315,0.015873015873015872,striped,striped
White_crowned_Sparrow,6.048,0.015873015873015872,eyeline,striped
White_throated_Sparrow,5.711428571428571,0.007936507936507936,striped,striped
Cape_Glossy_Starling,8.305405405405406,0.047619047619047616,plain,solid
Bank_Swallow,7.334782608695651,0.11904761904761904,plain,solid
Barn_Swallow,7.35,0.09523809523809523,capped,solid
Cliff_Swallow,8.974193548387097,0.12698412698412698,capped,solid
Tree_Swallow,7.118181818181819,0.10317460317460317,capped,multi-colored
Scarlet_Tanager,6.719230769230769,0.015873015873015872,plain,solid
Summer_Tanager,6.47,0.023809523809523808,plain,multi-colored
Artic_Tern,16.347058823529412,0.7698412698412699,capped,solid
Black_Tern,14.471428571428572,0.2857142857142857,plain,solid
Caspian_Tern,21.50526315789474,1.0,capped,solid
Common_Tern,17.496969696969696,0.7936507936507936,capped,solid
Elegant_Tern,20.526923076923076,0.6111111111111112,capped,solid
Forsters_Tern,16.41923076923077,0.5476190476190477,eyeline,solid
Least_Tern,17.08,0.4523809523809524,capped,solid
Green_tailed_Towhee,6.338235294117648,0.031746031746031744,capped,multi-colored
Brown_Thrasher,7.5687500000000005,0.023809523809523808,plain,striped
Sage_Thrasher,7.122222222222222,0.0,plain,striped
Black_capped_Vireo,5.125925925925926,0.047619047619047616,eyeline,striped
Blue_headed_Vireo,5.305882352941176,0.015873015873015872,eyering,multi-colored
Philadelphia_Vireo,5.405405405405405,0.023809523809523808,eyeline,solid
Red_eyed_Vireo,6.170588235294119,0.03968253968253968,eyebrow,solid
Warbling_Vireo,5.405714285714286,0.023809523809523808,eyebrow,solid
White_eyed_Vireo,5.305882352941176,0.015873015873015872,eyeline,striped
Yellow_throated_Vireo,5.429032258064517,0.023809523809523808,eyering,multi-colored
Bay_breasted_Warbler,5.831249999999999,0.007936507936507936,capped,striped
Black_and_white_Warbler,5.2142857142857135,0.023809523809523808,eyebrow,striped
Black_throated_Blue_Warbler,5.881818181818183,0.0,plain,multi-colored
Blue_winged_Warbler,5.42,0.023809523809523808,eyeline,multi-colored
Canada_Warbler,5.083333333333333,0.023809523809523808,eyering,solid
Cape_May_Warbler,5.574285714285714,0.015873015873015872,eyeline,striped
Cerulean_Warbler,5.357692307692307,0.015873015873015872,capped,multi-colored
Chestnut_sided_Warbler,5.586206896551724,0.0,capped,multi-colored
Golden_winged_Warbler,5.858823529411765,0.015873015873015872,capped,multi-colored
Hooded_Warbler,5.719230769230769,0.007936507936507936,masked,multi-colored
Kentucky_Warbler,5.6,0.007936507936507936,eyebrow,solid
Magnolia_Warbler,5.344,0.023809523809523808,eyebrow,multi-colored
Mourning_Warbler,5.6000000000000005,0.007936507936507936,plain,solid
Myrtle_Warbler,5.468181818181817,0.007936507936507936,eyering,striped
Nashville_Warbler,5.446666666666667,0.007936507936507936,eyering,solid
Orange_crowned_Warbler,5.316129032258065,0.031746031746031744,plain,solid
Palm_Warbler,5.716129032258065,0.007936507936507936,eyebrow,striped
Pine_Warbler,5.386206896551724,0.007936507936507936,plain,striped
Prairie_Warbler,5.16388888888889,0.015873015873015872,eyeline,striped
Prothonotary_Warbler,5.591428571428571,0.023809523809523808,plain,multi-colored
Swainson_Warbler,5.816000000000001,0.031746031746031744,eyeline,solid
Tennessee_Warbler,5.564516129032258,0.023809523809523808,plain,multi-colored
Wilson_Warbler,5.114285714285714,0.007936507936507936,capped,multi-colored
Worm_eating_Warbler,5.434375,0.03968253968253968,eyeline,solid
Yellow_Warbler,5.39047619047619,0.007936507936507936,plain,striped
Northern_Waterthrush,6.26111111111111,0.015873015873015872,eyebrow,solid
Louisiana_Waterthrush,6.203448275862069,0.015873015873015872,eyebrow,solid
Bohemian_Waxwing,8.224324324324325,0.05555555555555555,eyeline,multi-colored
Cedar_Waxwing,7.5121212121212135,0.047619047619047616,eyeline,multi-colored
American_Three_toed_Woodpecker,7.810344827586207,0.015873015873015872,capped,spotted
Pileated_Woodpecker,10.717948717948719,0.20634920634920634,crested,solid
Red_bellied_Woodpecker,7.8297297297297295,0.03968253968253968,capped,spotted
Red_cockaded_Woodpecker,7.604545454545455,0.03968253968253968,capped,spotted
Red_headed_Woodpecker,8.537931034482758,0.05555555555555555,plain,multi-colored
Downy_Woodpecker,7.15,0.031746031746031744,eyebrow,spotted
Bewick_Wren,5.352941176470589,0.007936507936507936,eyebrow,solid
Cactus_Wren,7.108333333333333,0.031746031746031744,eyebrow,spotted
Carolina_Wren,5.606060606060606,0.015873015873015872,eyebrow,solid
House_Wren,5.636,0.0,plain,striped
Marsh_Wren,5.275,0.015873015873015872,eyebrow,solid
Rock_Wren,5.952000000000001,0.0,eyebrow,solid
Winter_Wren,5.097222222222222,0.007936507936507936,eyebrow,striped
Common_Yellowthroat,5.22608695652174,0.015873015873015872,masked,solid
